"type","crop","key","english","hindi_draft","source","needs_review","hindi_corrected","reviewer","notes"
"crop_name","wheat","wheat","wheat","गेहूँ","Common Hindi farming term; drafted by Claude (AI) from general knowledge on 2026-09-26, not checked against a publication","true","","",""
"crop_name","rice","rice","rice","धान","Common Hindi farming term; drafted by Claude (AI) from general knowledge on 2026-09-26, not checked against a publication","true","","",""
"crop_name","sugarcane","sugarcane","sugarcane","गन्ना","Common Hindi farming term; drafted by Claude (AI) from general knowledge on 2026-09-26, not checked against a publication","true","","",""
"crop_name","potato","potato","potato","आलू","Common Hindi farming term; drafted by Claude (AI) from general knowledge on 2026-09-26, not checked against a publication","true","","",""
"crop_name","maize","maize","maize","मक्का","Common Hindi farming term; drafted by Claude (AI) from general knowledge on 2026-09-26, not checked against a publication","true","","",""
"crop_name","pigeonpea","pigeonpea","pigeonpea","अरहर (तूर)","Common Hindi farming term; drafted by Claude (AI) from general knowledge on 2026-09-26, not checked against a publication","true","","",""
"crop_name","groundnut","groundnut","groundnut","मूंगफली","Common Hindi farming term; drafted by Claude (AI) from general knowledge on 2026-09-26, not checked against a publication","true","","",""
"crop_name","blackgram","blackgram","blackgram","उड़द","Common Hindi farming term; drafted by Claude (AI) from general knowledge on 2026-09-26, not checked against a publication","true","","",""
"crop_name","apple","apple","apple","सेब","Common Hindi farming term; drafted by Claude (AI) from general knowledge on 2026-09-26, not checked against a publication","true","","",""
"crop_name","banana","banana","banana","केला","Common Hindi farming term; drafted by Claude (AI) from general knowledge on 2026-09-26, not checked against a publication","true","","",""
"disease_name","wheat","BlackPoint","BlackPoint","काला सिरा (ब्लैक पॉइंट)","Common Hindi term plus the English name in brackets; drafted by Claude (AI) on 2026-09-26","true","","",""
"disease_name","wheat","FusariumFootRot","FusariumFootRot","जड़ व तना-आधार सड़न (फ्यूज़ेरियम)","Descriptive Hindi phrase drafted by Claude (AI) on 2026-09-26; not a traditional name","true","","",""
"disease_name","wheat","HealthyLeaf","HealthyLeaf","स्वस्थ","Descriptive Hindi phrase drafted by Claude (AI) on 2026-09-26; not a traditional name","true","","",""
"disease_name","wheat","LeafBlight","LeafBlight","पत्ती झुलसा (स्पॉट ब्लॉच)","Common Hindi term plus the English name in brackets; drafted by Claude (AI) on 2026-09-26","true","","",""
"disease_name","wheat","WheatBlast","WheatBlast","गेहूँ का झोंका (ब्लास्ट)","Common Hindi term plus the English name in brackets; drafted by Claude (AI) on 2026-09-26","true","","",""
"disease_name","rice","Bacterialblight","Bacterialblight","जीवाणु पत्ती झुलसा","Common Hindi farming term; drafted by Claude (AI) from general knowledge on 2026-09-26, not checked against a publication","true","","",""
"disease_name","rice","Blast","Blast","झोंका (ब्लास्ट)","Common Hindi term plus the English name in brackets; drafted by Claude (AI) on 2026-09-26","true","","",""
"disease_name","rice","Brownspot","Brownspot","भूरा धब्बा","Common Hindi farming term; drafted by Claude (AI) from general knowledge on 2026-09-26, not checked against a publication","true","","",""
"disease_name","rice","Healthy","Healthy","स्वस्थ","Descriptive Hindi phrase drafted by Claude (AI) on 2026-09-26; not a traditional name","true","","",""
"disease_name","rice","Tungro","Tungro","टुंगरो","Transliteration of the English name; the drafter knows no widely used Hindi name","true","","",""
"disease_name","sugarcane","Banded_Chlorosis","Banded Chlorosis","पट्टीदार पीलापन (ठंड से चोट)","Descriptive Hindi phrase drafted by Claude (AI) on 2026-09-26; not a traditional name","true","","",""
"disease_name","sugarcane","BrownRust","BrownRust","भूरा रतुआ (गेरुई)","Common Hindi farming term; drafted by Claude (AI) from general knowledge on 2026-09-26, not checked against a publication","true","","",""
"disease_name","sugarcane","Brown_Spot","Brown Spot","भूरा धब्बा","Common Hindi farming term; drafted by Claude (AI) from general knowledge on 2026-09-26, not checked against a publication","true","","",""
"disease_name","sugarcane","Dried_Leaves","Dried Leaves","सूखी पत्तियाँ","Descriptive Hindi phrase drafted by Claude (AI) on 2026-09-26; not a traditional name","true","","",""
"disease_name","sugarcane","Grassy_shoot","Grassy shoot","घासीय प्ररोह (ग्रासी शूट)","Common Hindi term plus the English name in brackets; drafted by Claude (AI) on 2026-09-26","true","","",""
"disease_name","sugarcane","Healthy_Leaves","Healthy Leaves","स्वस्थ पत्तियाँ","Descriptive Hindi phrase drafted by Claude (AI) on 2026-09-26; not a traditional name","true","","",""
"disease_name","sugarcane","Pokkah_Boeng","Pokkah Boeng","पोक्का बोइंग","Transliteration of the English name; the drafter knows no widely used Hindi name","true","","",""
"disease_name","sugarcane","Sett_Rot","Sett Rot","बीज-टुकड़ा सड़न (अनानास रोग)","Descriptive Hindi phrase drafted by Claude (AI) on 2026-09-26; not a traditional name","true","","",""
"disease_name","sugarcane","Viral_Disease","Viral Disease","विषाणु रोग (मोज़ेक)","Descriptive Hindi phrase drafted by Claude (AI) on 2026-09-26; not a traditional name","true","","",""
